País 2008,Qtd 2009,Valor 2009,Qtd 2010,Valor 2010,Qtd 2011,Valor 2011,Qtd 2012,Valor 2012,Qtd 2013,Valor 2013,Qtd 2014,Valor 2014,Qtd 2015,Valor 2015,Qtd 2016,Valor 2016,Qtd 2017,Valor 2017,Qtd 2018,Valor 2018,Qtd 2019,Valor 2019,Qtd 2020,Valor 2020,Qtd 2021,Valor 2021,Qtd 2022,Valor 2022,Qtd 2023,Valor 2023
Áustria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,5220,0,0,0,0,0,0,0,0,0,0,6,212,0,0
Bahamas,0,0,3175,12759,4529,28810,1374,12087,581,5145,0,0,0,0,0,0,0,0,141,634,791,3124,1212,3703,1083,4567,1215,5799,1348,7402
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,2,20,7,84,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,394,143,169,216,844,220,1145,58,303
Barein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,2144,8,28,302,894,979,2789,283,1684
Bélgica,125962,58764,42532,185411,11802,62339,16132,90718,22461,95893,151320,704093,4473,26399,7200,46534,2790,16405,7497,52799,2498,12548,3166,20460,483,3749,828,6145,95,683
Belice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5040,20333,0,0,0,0,9,9,0,0,0,0,0,0,0,0
Bermudas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,153
Bolívia,40463,20729,54,282,12775,20215,11868,16804,19147,25998,12534,18303,10674,12990,13586,16902,9495,23085,21566,57424,0,0,9900,16025,5850,8360,32530,49011,21926,36950
Bósnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52,0,0,0,0,0,0
Brasil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,46,2504,952,0,0
Bulgária,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1579,0,0,0,0,0,0,0,0,5,31,0,0
Cabo Verde,0,0,11991,49366,600,825,0,0,0,0,0,0,0,0,0,0,0,0,18,48,0,0,0,0,16,124,0,0,0,0
Camarões,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749,7476,0,0,0,0,0,178,0,0,0,0,0,0
Canadá,15664,73445,0,0,28906,128076,14304,146035,25329,174643,35082,226875,24547,118394,13711,71096,6075,30658,5308,20414,1589,6933,1672,8431,1172,6157,1183,5784,11539,42179
Catar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13338,81606,0,0,0,0,0,0,1,2,0,0,5,18
"Cayman, Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,203,19,106,123,339,104,356,160,958,438,2632
Chile,1475,4297,0,0,0,0,8550,15438,0,0,0,0,0,0,0,0,0,0,11049,42832,0,0,11,13,26,6,2094,7986,9,63
China,1553416,482400,795,2358,54156,334867,87905,642177,40929,279956,64040,455340,47609,222866,134106,499622,67594,266086,30835,126336,129852,376828,122253,363000,61884,264116,105395,404647,73917,183096
Chipre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,480,672,1843,2478,6785,1855,4530,1521,4458,524,2995
Cingapura,2419,6110,1533,5504,911,3317,1212,5310,766,5779,541,3887,1116,2774,5445,13199,0,0,3298,11616,5044,19099,4049,9316,0,0,0,0,0,0
"Cocos (Keeling), Ilhas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,60,0,0
Colômbia,0,0,0,0,0,0,0,0,8,30,0,0,0,0,0,0,0,0,6944,26273,897,1999,15660,23780,12160,21867,8217,14068,450,1259
Comores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0
Congo,0,0,0,0,360,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17100,26600
"Coreia, Republica Sul",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,120,109,70,194,103,433,67,100,77,257,25,171
Costa do Marfim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coveite (Kuweit),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croácia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,123,0,0,34,484,0,0
Cuba,0,0,0,0,2880,4899,0,0,0,0,38875,43200,97965,108864,63741,69830,62791,72229,4776,5584,0,0,0,0,0,0,16,6,0,0
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12340,23011,23930,43676,33951,62067,47962,65986,32263,58993,40673,66950,25135,40807
Dinamarca,1980,21780,7034,69161,32797,83057,4716,23802,17892,101915,3240,16871,7080,29306,1278,8171,581,2829,0,0,240,306,659,1962,87,504,2,6,1734,15261
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,634,1485,2223,0,0
El Salvador,55,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emirados Arabes Unidos,1398,4032,1035,3206,2120,6594,675,3300,0,0,640,3381,765,3740,585,2760,675,3302,360,1762,450,2202,581,2279,810,10522,4781,85465,1417,6762
Equador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3780,3824,0,0,135,210,2790,4392
"Eslovaca, Republica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Espanha,2181,4050,0,0,5206,24618,0,0,1972980,3748940,0,0,0,0,0,0,0,0,6123,22631,3540,1353,28,126,0,0,0,0,180,4171
Estados Unidos,372319,660066,228968,478630,306787,1030254,146585,303986,245368,786556,222267,494216,195896,524109,258072,687411,132688,1523699,169109,512519,209765,616274,300178,610793,111085,203554,220373,447893,229839,429091
